Quality Analytics;
Tuesday, September 30, 2008;111
Wednesday, October 1, 2008;98
Thursday, October 2, 2008;105
Friday, October 3, 2008;86
Saturday, October 4, 2008;58
Sunday, October 5, 2008;51
Monday, October 6, 2008;91
Tuesday, October 7, 2008;87
Wednesday, October 8, 2008;84
Thursday, October 9, 2008;99
Friday, October 10, 2008;96
Saturday, October 11, 2008;53
Sunday, October 12, 2008;51
Monday, October 13, 2008;88
Tuesday, October 14, 2008;81
Wednesday, October 15, 2008;101
Thursday, October 16, 2008;88
Friday, October 17, 2008;103
Saturday, October 18, 2008;46
Sunday, October 19, 2008;59
Monday, October 20, 2008;86
Tuesday, October 21, 2008;92
Wednesday, October 22, 2008;101
Thursday, October 23, 2008;94
Friday, October 24, 2008;85
Saturday, October 25, 2008;53
Sunday, October 26, 2008;47
Monday, October 27, 2008;91
Tuesday, October 28, 2008;99
Wednesday, October 29, 2008;95
Thursday, October 30, 2008;89
Friday, October 31, 2008;83
Saturday, November 1, 2008;47
Sunday, November 2, 2008;39
Monday, November 3, 2008;84
Tuesday, November 4, 2008;90
Wednesday, November 5, 2008;94
Thursday, November 6, 2008;93
Friday, November 7, 2008;86
Saturday, November 8, 2008;51
Sunday, November 9, 2008;48
Monday, November 10, 2008;84
Tuesday, November 11, 2008;91
Wednesday, November 12, 2008;103
Thursday, November 13, 2008;96
Friday, November 14, 2008;74
Saturday, November 15, 2008;47
Sunday, November 16, 2008;52
Monday, November 17, 2008;94
Tuesday, November 18, 2008;91
Wednesday, November 19, 2008;116
Thursday, November 20, 2008;74
Friday, November 21, 2008;80
Saturday, November 22, 2008;51
Sunday, November 23, 2008;58
Monday, November 24, 2008;75
Tuesday, November 25, 2008;131
Wednesday, November 26, 2008;106
Thursday, November 27, 2008;56
Friday, November 28, 2008;57
Saturday, November 29, 2008;53
Sunday, November 30, 2008;58
Monday, December 1, 2008;78
Tuesday, December 2, 2008;102
Wednesday, December 3, 2008;93
Thursday, December 4, 2008;82
Friday, December 5, 2008;83
Saturday, December 6, 2008;53
Sunday, December 7, 2008;52
Monday, December 8, 2008;96
Tuesday, December 9, 2008;85
Wednesday, December 10, 2008;86
Thursday, December 11, 2008;98
Friday, December 12, 2008;84
Saturday, December 13, 2008;44
Sunday, December 14, 2008;58
Monday, December 15, 2008;81
Tuesday, December 16, 2008;117
Wednesday, December 17, 2008;81
Thursday, December 18, 2008;111
Friday, December 19, 2008;81
Saturday, December 20, 2008;62
Sunday, December 21, 2008;49
Monday, December 22, 2008;70
Tuesday, December 23, 2008;67
Wednesday, December 24, 2008;57
Thursday, December 25, 2008;53
Friday, December 26, 2008;41
Saturday, December 27, 2008;46
Sunday, December 28, 2008;53
Monday, December 29, 2008;74
Tuesday, December 30, 2008;55
Wednesday, December 31, 2008;53
Thursday, January 1, 2009;53
Friday, January 2, 2009;49
Saturday, January 3, 2009;65
Sunday, January 4, 2009;50
Monday, January 5, 2009;85
Tuesday, January 6, 2009;84
Wednesday, January 7, 2009;87
Thursday, January 8, 2009;105
Friday, January 9, 2009;84
Saturday, January 10, 2009;52
Sunday, January 11, 2009;37
Monday, January 12, 2009;96
Tuesday, January 13, 2009;97
Wednesday, January 14, 2009;92
Thursday, January 15, 2009;122
Friday, January 16, 2009;106
Saturday, January 17, 2009;81
Sunday, January 18, 2009;67
Monday, January 19, 2009;113
Tuesday, January 20, 2009;108
Wednesday, January 21, 2009;132
Thursday, January 22, 2009;135
Friday, January 23, 2009;116
Saturday, January 24, 2009;124
Sunday, January 25, 2009;80
Monday, January 26, 2009;141
Tuesday, January 27, 2009;165
Wednesday, January 28, 2009;165
Thursday, January 29, 2009;175
Friday, January 30, 2009;135
Saturday, January 31, 2009;139
Sunday, February 1, 2009;145
Monday, February 2, 2009;144
Tuesday, February 3, 2009;186
Wednesday, February 4, 2009;145
Thursday, February 5, 2009;173
Friday, February 6, 2009;177
Saturday, February 7, 2009;237
Sunday, February 8, 2009;262
Monday, February 9, 2009;319
Tuesday, February 10, 2009;309
Wednesday, February 11, 2009;330
Thursday, February 12, 2009;329
Friday, February 13, 2009;361
Saturday, February 14, 2009;407
Sunday, February 15, 2009;392
Monday, February 16, 2009;277
Tuesday, February 17, 2009;276
Wednesday, February 18, 2009;288
Thursday, February 19, 2009;216
Friday, February 20, 2009;247
Saturday, February 21, 2009;317
Sunday, February 22, 2009;240
Monday, February 23, 2009;307
Tuesday, February 24, 2009;428
Wednesday, February 25, 2009;248
Thursday, February 26, 2009;357
Friday, February 27, 2009;375
Saturday, February 28, 2009;369
Sunday, March 1, 2009;538
Monday, March 2, 2009;545
Tuesday, March 3, 2009;448
Wednesday, March 4, 2009;546
Thursday, March 5, 2009;624
Friday, March 6, 2009;518
Saturday, March 7, 2009;507
Sunday, March 8, 2009;315
Monday, March 9, 2009;664
Tuesday, March 10, 2009;478
Wednesday, March 11, 2009;189
Thursday, March 12, 2009;238
Friday, March 13, 2009;209
Saturday, March 14, 2009;470
Sunday, March 15, 2009;476
Monday, March 16, 2009;541
Tuesday, March 17, 2009;436
Wednesday, March 18, 2009;485
Thursday, March 19, 2009;518
Friday, March 20, 2009;419
Saturday, March 21, 2009;131
Sunday, March 22, 2009;213
Monday, March 23, 2009;308
Tuesday, March 24, 2009;234
Wednesday, March 25, 2009;224
Thursday, March 26, 2009;232
Friday, March 27, 2009;221
Saturday, March 28, 2009;231
Sunday, March 29, 2009;220
Monday, March 30, 2009;251
Tuesday, March 31, 2009;267
Wednesday, April 1, 2009;169
Thursday, April 2, 2009;253
Friday, April 3, 2009;285
Saturday, April 4, 2009;334
Sunday, April 5, 2009;132
Monday, April 6, 2009;170
Tuesday, April 7, 2009;185
Wednesday, April 8, 2009;178
Thursday, April 9, 2009;157
Friday, April 10, 2009;147
Saturday, April 11, 2009;117
Sunday, April 12, 2009;120
Monday, April 13, 2009;186
Tuesday, April 14, 2009;175
Wednesday, April 15, 2009;176
Thursday, April 16, 2009;203
Friday, April 17, 2009;186
Saturday, April 18, 2009;185
Sunday, April 19, 2009;108
Monday, April 20, 2009;159
Tuesday, April 21, 2009;184
Wednesday, April 22, 2009;166
Thursday, April 23, 2009;159
Friday, April 24, 2009;293
Saturday, April 25, 2009;179
Sunday, April 26, 2009;242
Monday, April 27, 2009;192
Tuesday, April 28, 2009;242
Wednesday, April 29, 2009;241
Thursday, April 30, 2009;271
Friday, May 1, 2009;283
Saturday, May 2, 2009;203
Sunday, May 3, 2009;218
Monday, May 4, 2009;248
Tuesday, May 5, 2009;216
Wednesday, May 6, 2009;204
Thursday, May 7, 2009;233
Friday, May 8, 2009;222
Saturday, May 9, 2009;173
Sunday, May 10, 2009;186
Monday, May 11, 2009;200
Tuesday, May 12, 2009;184
Wednesday, May 13, 2009;176
Thursday, May 14, 2009;205
Friday, May 15, 2009;197
Saturday, May 16, 2009;154
Sunday, May 17, 2009;176
Monday, May 18, 2009;199
Tuesday, May 19, 2009;166
Wednesday, May 20, 2009;176
Thursday, May 21, 2009;162
Friday, May 22, 2009;175
Saturday, May 23, 2009;137
Sunday, May 24, 2009;137
Monday, May 25, 2009;139
Tuesday, May 26, 2009;161
Wednesday, May 27, 2009;158
Thursday, May 28, 2009;129
Friday, May 29, 2009;137
Saturday, May 30, 2009;96
Sunday, May 31, 2009;112
Monday, June 1, 2009;144
Tuesday, June 2, 2009;148
Wednesday, June 3, 2009;148
Thursday, June 4, 2009;145
Friday, June 5, 2009;159
Saturday, June 6, 2009;107
Sunday, June 7, 2009;107
Monday, June 8, 2009;144
Tuesday, June 9, 2009;132
Wednesday, June 10, 2009;138
Thursday, June 11, 2009;135
Friday, June 12, 2009;130
Saturday, June 13, 2009;96
Sunday, June 14, 2009;118
Monday, June 15, 2009;145
Tuesday, June 16, 2009;146
Wednesday, June 17, 2009;139
Thursday, June 18, 2009;150
Friday, June 19, 2009;143
Saturday, June 20, 2009;101
Sunday, June 21, 2009;89
Monday, June 22, 2009;134
Tuesday, June 23, 2009;131
Wednesday, June 24, 2009;132
Thursday, June 25, 2009;139
Friday, June 26, 2009;116
Saturday, June 27, 2009;94
Sunday, June 28, 2009;96
Monday, June 29, 2009;134
Tuesday, June 30, 2009;135
Wednesday, July 1, 2009;121
Thursday, July 2, 2009;128
Friday, July 3, 2009;100
Saturday, July 4, 2009;88
Sunday, July 5, 2009;105
Monday, July 6, 2009;149
Tuesday, July 7, 2009;121
Wednesday, July 8, 2009;119
Thursday, July 9, 2009;118
Friday, July 10, 2009;115
Saturday, July 11, 2009;79
Sunday, July 12, 2009;122
Monday, July 13, 2009;150
Tuesday, July 14, 2009;140
Wednesday, July 15, 2009;128
Thursday, July 16, 2009;146
Friday, July 17, 2009;120
Saturday, July 18, 2009;94
Sunday, July 19, 2009;100
Monday, July 20, 2009;136
Tuesday, July 21, 2009;156
Wednesday, July 22, 2009;142
Thursday, July 23, 2009;107
Friday, July 24, 2009;122
Saturday, July 25, 2009;97
Sunday, July 26, 2009;88
Monday, July 27, 2009;119
Tuesday, July 28, 2009;193
Wednesday, July 29, 2009;150
Thursday, July 30, 2009;139
Friday, July 31, 2009;141
Saturday, August 1, 2009;94
Sunday, August 2, 2009;86
Monday, August 3, 2009;143
Tuesday, August 4, 2009;111
Wednesday, August 5, 2009;147
Thursday, August 6, 2009;128
Friday, August 7, 2009;108
Saturday, August 8, 2009;69
Sunday, August 9, 2009;84
Monday, August 10, 2009;141
Tuesday, August 11, 2009;126
Wednesday, August 12, 2009;120
Thursday, August 13, 2009;113
Friday, August 14, 2009;106
Saturday, August 15, 2009;91
Sunday, August 16, 2009;95
Monday, August 17, 2009;109
Tuesday, August 18, 2009;122
Wednesday, August 19, 2009;151
Thursday, August 20, 2009;138
Friday, August 21, 2009;101
Saturday, August 22, 2009;60
Sunday, August 23, 2009;80
Monday, August 24, 2009;137
Tuesday, August 25, 2009;147
Wednesday, August 26, 2009;132
Thursday, August 27, 2009;101
Friday, August 28, 2009;112
Saturday, August 29, 2009;63
