Quality Alloys;;;;
Lbs. of Material Sold Per Week;;;;
Week of Jan. 3, 2005 through week of July 19, 2010.;;;;
;;;;
Week;Lbs. Sold;;;
22/10/2006;27.658;;;
29/10/2006;16.320;;;
5/11/2006;20.178;;;
12/11/2006;13.139;;;
19/11/2006;8.821;;;
26/11/2006;16.599;;;
3/12/2006;19.955;;;
10/12/2006;14.567;;;
17/12/2006;9.557;;;
24/12/2006;26.341;;;
31/12/2006;15.284;;;
7/01/2007;12.683;;;
14/01/2007;10.036;;;
21/01/2007;15.723;;;
28/01/2007;25.288;;;
4/02/2007;8.085;;;
11/02/2007;16.282;;;
18/02/2007;23.178;;;
25/02/2007;24.919;;;
4/03/2007;15.258;;;
11/03/2007;8.492;;;
18/03/2007;12.426;;;
25/03/2007;32.266;;;
1/04/2007;21.981;;;
8/04/2007;12.558;;;
15/04/2007;9.299;;;
22/04/2007;25.516;;;
29/04/2007;15.326;;;
6/05/2007;13.354;;;
13/05/2007;21.417;;;
20/05/2007;25.529;;;
27/05/2007;19.585;;;
3/06/2007;28.865;;;
10/06/2007;14.905;;;
17/06/2007;16.386;;;
24/06/2007;20.385;;;
1/07/2007;4.173;;;
8/07/2007;20.030;;;
15/07/2007;11.964;;;
22/07/2007;22.061;;;
29/07/2007;16.925;;;
5/08/2007;8.736;;;
12/08/2007;16.107;;;
19/08/2007;12.353;;;
26/08/2007;28.451;;;
2/09/2007;11.135;;;
9/09/2007;28.543;;;
16/09/2007;10.668;;;
23/09/2007;28.752;;;
30/09/2007;13.886;;;
7/10/2007;7.828;;;
14/10/2007;13.435;;;
21/10/2007;19.429;;;
28/10/2007;23.102;;;
4/11/2007;16.170;;;
11/11/2007;14.836;;;
18/11/2007;13.680;;;
25/11/2007;40.447;;;
2/12/2007;21.080;;;
9/12/2007;12.456;;;
16/12/2007;9.663;;;
23/12/2007;23.735;;;
30/12/2007;8.569;;;
6/01/2008;16.856;;;
13/01/2008;19.903;;;
20/01/2008;18.139;;;
27/01/2008;36.322;;;
3/02/2008;21.289;;;
10/02/2008;34.252;;;
17/02/2008;17.411;;;
24/02/2008;28.128;;;
2/03/2008;19.459;;;
9/03/2008;23.140;;;
16/03/2008;13.394;;;
23/03/2008;34.894;;;
30/03/2008;31.014;;;
6/04/2008;21.431;;;
13/04/2008;15.735;;;
20/04/2008;17.188;;;
27/04/2008;44.740;;;
4/05/2008;17.902;;;
11/05/2008;14.145;;;
18/05/2008;11.076;;;
25/05/2008;16.585;;;
1/06/2008;18.906;;;
8/06/2008;28.053;;;
15/06/2008;19.382;;;
22/06/2008;24.274;;;
29/06/2008;15.309;;;
6/07/2008;8.633;;;
13/07/2008;17.216;;;
20/07/2008;17.309;;;
27/07/2008;24.571;;;
3/08/2008;14.390;;;
10/08/2008;17.231;;;
17/08/2008;13.802;;;
24/08/2008;26.653;;;
31/08/2008;12.403;;;
7/09/2008;11.695;;;
14/09/2008;26.362;;;
21/09/2008;15.772;;;
28/09/2008;31.972;;;
5/10/2008;15.531;;;
12/10/2008;19.734;;;
19/10/2008;17.193;;;
26/10/2008;22.591;;;
2/11/2008;8.992;;;
9/11/2008;19.104;;;
16/11/2008;21.455;;;
23/11/2008;18.784;;;
30/11/2008;14.298;;;
7/12/2008;17.215;;;
14/12/2008;27.257;;;
21/12/2008;11.292;;;
28/12/2008;20.148;;;
4/01/2009;16.454;;;
11/01/2009;12.703;;;
18/01/2009;26.303;;;
25/01/2009;22.199;;;
1/02/2009;16.535;;;
8/02/2009;7.814;;;
15/02/2009;28.041;;;
22/02/2009;31.496;;;
1/03/2009;10.181;;;
8/03/2009;9.727;;;
15/03/2009;18.323;;;
22/03/2009;17.299;;;
29/03/2009;13.862;;;
5/04/2009;19.007;;;
12/04/2009;23.284;;;
19/04/2009;17.374;;;
26/04/2009;18.195;;;
3/05/2009;9.176;;;
10/05/2009;12.881;;;
17/05/2009;15.524;;;
24/05/2009;15.406;;;
31/05/2009;14.536;;;
7/06/2009;10.397;;;
14/06/2009;11.054;;;
21/06/2009;17.855;;;
28/06/2009;7.197;;;
5/07/2009;3.826;;;
12/07/2009;22.821;;;
19/07/2009;12.758;;;
26/07/2009;22.325;;;
2/08/2009;18.566;;;
9/08/2009;12.294;;;
16/08/2009;11.293;;;
23/08/2009;23.762;;;
30/08/2009;11.308;;;
6/09/2009;6.662;;;
13/09/2009;14.995;;;
20/09/2009;21.218;;;
27/09/2009;14.764;;;
4/10/2009;14.905;;;
11/10/2009;16.611;;;
18/10/2009;18.343;;;
25/10/2009;25.017;;;
1/11/2009;10.741;;;
8/11/2009;11.722;;;
15/11/2009;17.457;;;
22/11/2009;15.513;;;
29/11/2009;15.038;;;
6/12/2009;20.636;;;
13/12/2009;20.792;;;
20/12/2009;6.715;;;
27/12/2009;22.207;;;
3/01/2010;8.102;;;
10/01/2010;13.969;;;
17/01/2010;35.669;;;
24/01/2010;19.592;;;
31/01/2010;17.645;;;
7/02/2010;15.911;;;
14/02/2010;14.516;;;
21/02/2010;25.250;;;
28/02/2010;23.285;;;
7/03/2010;20.585;;;
14/03/2010;11.532;;;
21/03/2010;24.894;;;
28/03/2010;12.908;;;
4/04/2010;19.234;;;
11/04/2010;20.026;;;
18/04/2010;22.317;;;
25/04/2010;28.181;;;
2/05/2010;28.906;;;
9/05/2010;15.729;;;
16/05/2010;14.793;;;
23/05/2010;30.790;;;
30/05/2010;27.704;;;
6/06/2010;12.274;;;
13/06/2010;14.862;;;
20/06/2010;19.431;;;
27/06/2010;21.976;;;
4/07/2010;5.380;;;
11/07/2010;17.776;;;
18/07/2010;14.307;;;
